Name	Lowest	Median	Volume	Date
SURVIVOR CRATE	0,35	0,35	34458	2018-01-24
WANDERER CRATE	0,32	0,34	26633	2018-01-24
MP9 %7C Pandora%27s Box %28Minimal Wear%29	6,--	5,92	8	2018-01-24
Shirt %28Black%29	1,44	1,45	1686	2018-01-24
Huntsman Weapon Case	0,55	0,57	1061	2018-01-24
Chroma Case	0,05	0,03	3931	2018-01-24
Chroma 2 Case	0,03	0,01	13515	2018-01-24
Operation Phoenix Weapon Case	0,04	0,03	4601	2018-01-24
Cologne 2016 Cobblestone Souvenir Package	29,8	37,9	1	2018-01-24
SURVIVOR CRATE	0,35	0,35	34458	2018-01-24
WANDERER CRATE	0,34	0,34	26633	2018-01-24
MP9 %7C Pandora%27s Box %28Minimal Wear%29	6,--	5,92	8	2018-01-24
Shirt %28Black%29	1,44	1,45	1686	2018-01-24
Huntsman Weapon Case	0,55	0,57	1061	2018-01-24
Chroma Case	0,05	0,03	3931	2018-01-24
Chroma 2 Case	0,03	0,01	13515	2018-01-24
Operation Phoenix Weapon Case	0,04	0,03	4601	2018-01-24
Cologne 2016 Cobblestone Souvenir Package	29,8	37,9	1	2018-01-24
SURVIVOR CRATE	0,30	0,35	31,814	2018-01-25
WANDERER CRATE	0,34	0,34	23,572	2018-01-25
MP9 %7C Pandora%27s Box %28Minimal Wear%29	5,72	6,05	4	2018-01-25
Shirt %28Black%29	1,32	1,39	1,552	2018-01-25
Huntsman Weapon Case	0,54	0,59	1,015	2018-01-25
Chroma Case	0,05	0,03	3,111	2018-01-25
Chroma 2 Case	0,03	0,01	18,297	2018-01-25
Operation Phoenix Weapon Case	0,05	0,04	5,848	2018-01-25
Cologne 2016 Cobblestone Souvenir Package	27,8	27,2	2	2018-01-25
SURVIVOR CRATE	0,34	0,35	30,937	2018-01-25
WANDERER CRATE	0,34	0,35	24,949	2018-01-25
MP9 %7C Pandora%27s Box %28Minimal Wear%29	6,26	5,73	5	2018-01-25
Shirt %28Black%29	1,39	1,37	1,521	2018-01-25
Huntsman Weapon Case	0,57	0,58	967	2018-01-25
Chroma Case	0,05	0,03	3,018	2018-01-25
Chroma 2 Case	0,03	0,03	19,324	2018-01-25
Operation Phoenix Weapon Case	0,05	0,04	5,770	2018-01-25
Cologne 2016 Cobblestone Souvenir Package	27,8	25,1	3	2018-01-25
SURVIVOR CRATE	0,34	0,34	30,789	2018-01-25
WANDERER CRATE	0,34	0,35	25,749	2018-01-25
MP9 %7C Pandora%27s Box %28Minimal Wear%29	6,26	5,73	5	2018-01-25
Shirt %28Black%29	1,46	1,35	1,540	2018-01-25
Huntsman Weapon Case	0,53	0,58	990	2018-01-25
Chroma Case	0,05	0,03	2,733	2018-01-25
Chroma 2 Case	0,03	0,01	18,492	2018-01-25
Operation Phoenix Weapon Case	0,05	0,03	5,908	2018-01-25
Cologne 2016 Cobblestone Souvenir Package	27,8	25,1	3	2018-01-25
